"İşletme";"Doğrulama";"Ürün";"Menşe";"Gramaj (g)";"Fiyat (TL)";"TL/kg";"Stok";"Kaynak bağlantısı";"Kontrol tarihi"
"1978 Coffee Roastery";"Doğrulandı";"78 Tanışma Paketi";"Brezilya";"Erişilemedi";"1000";"Erişilemedi";"Belirsiz";"https://1978coffee.com/78-tanisma-paketi";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Brazil Mogiana ( 1 Kg )";"Brezilya";"1000";"1950";"1950";"Stokta";"https://1978coffee.com/brazil-mogiana-1-kg-";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Brazil Mogiana ( 1 Kg )";"Brezilya";"1000";"1000";"1000";"Belirsiz";"https://1978coffee.com/brazil-mogiana-1-kg-";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Brazil Mogiana ( 250 gr )";"Brezilya";"250";"640";"2560";"Stokta";"https://1978coffee.com/brazil-mogiana-250-gr-";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Brazil Mogiana ( 250 gr )";"Brezilya";"250";"1000";"4000";"Belirsiz";"https://1978coffee.com/brazil-mogiana-250-gr-";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Colombia EL PARAISO";"Kolombiya";"Erişilemedi";"1000";"Erişilemedi";"Belirsiz";"https://1978coffee.com/colombia-el-paraiso";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Colombia LA ROCA";"Kolombiya";"Erişilemedi";"1000";"Erişilemedi";"Belirsiz";"https://1978coffee.com/colombia-la-roca";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Honduras Las Calaveras ( 1 Kg )";"Honduras";"1000";"2850";"2850";"Stokta";"https://1978coffee.com/honduras-las-calaveras-1-kg-";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Honduras Las Calaveras ( 1 Kg )";"Honduras";"1000";"1000";"1000";"Belirsiz";"https://1978coffee.com/honduras-las-calaveras-1-kg-";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Honduras Las Calaveras ( 250 gr )";"Honduras";"250";"840";"3360";"Stokta";"https://1978coffee.com/honduras-las-calaveras-250-gr-";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Honduras Las Calaveras ( 250 gr )";"Honduras";"250";"1000";"4000";"Belirsiz";"https://1978coffee.com/honduras-las-calaveras-250-gr-";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"TIMEMORE Coffee Server (360 ml)";"Menşe belirtilmemiş";"Erişilemedi";"1000";"Erişilemedi";"Belirsiz";"https://1978coffee.com/timemore-coffee-server";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Türk Kahvesi";"Menşe belirtilmemiş";"Erişilemedi";"1000";"Erişilemedi";"Belirsiz";"https://1978coffee.com/turk-kahvesi-1";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"🎁 Türk Kahvesi 250g (HEDİYE)";"Menşe belirtilmemiş";"250";"Erişilemedi";"Erişilemedi";"Stokta";"https://aroastinglab.com/products/turkish-coffee-blend-250-gram-turk-kahvesi-sca_clone_freegift";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"ARL Collective Hediye | 50g Kahve Paketi";"Menşe belirtilmemiş";"50";"115";"2300";"Stokta";"https://aroastinglab.com/products/arl-collective-hediyesi-50g-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"ARL Collective Hediye | 50g Kahve Paketi";"Menşe belirtilmemiş";"50";"129";"2580";"Stokta";"https://aroastinglab.com/products/arl-collective-hediyesi-50g-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"ARL Collective Hediyesi | 1000g Kahve Paketi";"Menşe belirtilmemiş";"1000";"1796.4";"1796.4";"Stokta";"https://aroastinglab.com/products/arl-collective-hediyesi-1000g-kahve-paketi";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"ARL Collective Hediyesi | 1000g Kahve Paketi";"Menşe belirtilmemiş";"1000";"2149";"2149";"Stokta";"https://aroastinglab.com/products/arl-collective-hediyesi-1000g-kahve-paketi";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"ARL Collective Hediyesi | 1000g Kahve Paketi";"Menşe belirtilmemiş";"1000";"1088";"1088";"Stokta";"https://aroastinglab.com/products/arl-collective-hediyesi-1000g-kahve-paketi";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"ARL Collective Hediyesi | 250g Kahve Paketi";"Menşe belirtilmemiş";"250";"499";"1996";"Stokta";"https://aroastinglab.com/products/arl-collective-hediyesi-250g-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"ARL Collective Hediyesi | 250g Kahve Paketi";"Menşe belirtilmemiş";"250";"599";"2396";"Stokta";"https://aroastinglab.com/products/arl-collective-hediyesi-250g-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"ARL Collective Hediyesi | 250g Kahve Paketi";"Menşe belirtilmemiş";"250";"333";"1332";"Stokta";"https://aroastinglab.com/products/arl-collective-hediyesi-250g-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Astrower Blend Kahve - 1000g";"Etiyopya | El Salvador";"1000";"1526.94";"1526.94";"Stokta";"https://aroastinglab.com/products/astrower-filter-blend-1000-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Astrower Blend Kahve - 250g";"Etiyopya | El Salvador";"250";"424.15";"1696.6";"Stokta";"https://aroastinglab.com/products/astrower-filter-blend-filtre-kahve-250-gr";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Astrower Blend Kahve 50g";"Etiyopya | El Salvador";"50";"97.75";"1955";"Stokta";"https://aroastinglab.com/products/astrower-filter-blend-filtre-kahve-50-gr";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Aurora Kahveler Deneme Paketi 5x50 g";"Kolombiya | Burundi | El Salvador | Endonezya";"50";"479.2";"9584";"Stokta";"https://aroastinglab.com/products/aurora-kahveler-deneme-paketi";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Brezilya Filtre Kahve 1000g";"Brezilya";"1000";"1526.94";"1526.94";"Stokta";"https://aroastinglab.com/products/brazil-bella-giana-1000-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Brezilya Filtre Kahve 250g";"Brezilya";"250";"424.15";"1696.6";"Stokta";"https://aroastinglab.com/products/brazil-bella-giana-250-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Brezilya Filtre Kahve 50g";"Brezilya";"50";"97.75";"1955";"Stokta";"https://aroastinglab.com/products/brazil-bella-giana-50-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Burundi Filtre Kahve 1000g";"Burundi";"1000";"1526.94";"1526.94";"Stokta";"https://aroastinglab.com/products/burundi-afric-1000-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Burundi Filtre Kahve 250g";"Burundi";"250";"424.15";"1696.6";"Stokta";"https://aroastinglab.com/products/burundi-afric-250-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Burundi Filtre Kahve 50g";"Burundi";"50";"97.75";"1955";"Stokta";"https://aroastinglab.com/products/burundi-afric-50-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Darkness Blend Kahve 1000g";"Kolombiya | Brezilya";"1000";"1526.94";"1526.94";"Stokta";"https://aroastinglab.com/products/darkness-blend-kahve-1000g";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Darkness Blend Kahve 250g";"Kolombiya | Brezilya";"250";"424.15";"1696.6";"Stokta";"https://aroastinglab.com/products/darkness-filter-blend-250-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"El Salvador Espresso 1000g";"El Salvador";"1000";"1526.94";"1526.94";"Stokta";"https://aroastinglab.com/products/el-salvador-espresso-shg-1000-gram";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"El Salvador Espresso 250g";"El Salvador";"250";"424.15";"1696.6";"Stokta";"https://aroastinglab.com/products/el-salvador-espresso-shg-250-gram";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"El Salvador Espresso 50g";"El Salvador";"50";"97.75";"1955";"Stokta";"https://aroastinglab.com/products/el-salvador-espresso-shg-50-gram";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"El Salvador Filtre Kahve 1000g";"El Salvador";"1000";"1526.94";"1526.94";"Stokta";"https://aroastinglab.com/products/el-salvador-shg-1000-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"El Salvador Filtre Kahve 250g";"El Salvador";"250";"424.15";"1696.6";"Stokta";"https://aroastinglab.com/products/el-salvador-shg-250-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"El Salvador Filtre Kahve 50g";"El Salvador";"50";"97.75";"1955";"Stokta";"https://aroastinglab.com/products/el-salvador-shg-50-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"El Salvador Finca Gabriela Filtre Kahve 250g";"El Salvador";"250";"509.15";"2036.6";"Stokta";"https://aroastinglab.com/products/el-salvador-finca-gabriela-250-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Endonezya Sumatra Filtre Kahve 1000g";"Endonezya";"1000";"1826.65";"1826.65";"Stokta";"https://aroastinglab.com/products/indonesia-sumatra-blue-mandheling-1000-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Endonezya Sumatra Filtre Kahve 250g";"Endonezya";"250";"509.15";"2036.6";"Stokta";"https://aroastinglab.com/products/indonesia-sumatra-blue-mandheling-250-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Endonezya Sumatra Filtre Kahve 50g";"Endonezya";"50";"109.65";"2193";"Stokta";"https://aroastinglab.com/products/indonesia-sumatra-blue-mandheling-50-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Espresso Kahveler Deneme Paketi 4x50 g";"Kolombiya | Guatemala | El Salvador";"50";"399.2";"7984";"Stokta";"https://aroastinglab.com/products/espresso-kahveler-deneme-paketi-4x50-g";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Espresso Kahveler Tanışma Seti 4x1000 g";"Kolombiya | Guatemala | El Salvador";"1000";"5389.2";"5389.2";"Stokta";"https://aroastinglab.com/products/espresso-kahveler-tanisma-seti-4x1000-g";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Espresso Kahveler Tanışma Seti 4x250 g";"Kolombiya | Guatemala | El Salvador";"250";"1497";"5988";"Stokta";"https://aroastinglab.com/products/espresso-kahveler-tanisma-seti-4x250-g";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Ethiopia Guji Filtre Kahve 250g";"Etiyopya";"250";"509.15";"2036.6";"Stokta";"https://aroastinglab.com/products/ethiopia-guji-250-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Etiyopya Filtre Kahve 1000g";"Etiyopya";"1000";"1526.94";"1526.94";"Stokta";"https://aroastinglab.com/products/ethiopia-sidamo-1000-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Etiyopya Filtre Kahve 250g";"Etiyopya";"250";"424.15";"1696.6";"Stokta";"https://aroastinglab.com/products/ethiopia-sidamo-250-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Etiyopya Filtre Kahve 50g";"Etiyopya";"50";"97.75";"1955";"Stokta";"https://aroastinglab.com/products/ethiopia-sidamo-50-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Good Fellas Espresso 1000g";"Harman – menşe belirtilmemiş";"1000";"1526.94";"1526.94";"Stokta";"https://aroastinglab.com/products/good-fellas-espresso-blend-1000-gram";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Good Fellas Espresso 250g";"Harman – menşe belirtilmemiş";"250";"424.15";"1696.6";"Stokta";"https://aroastinglab.com/products/good-fellas-espresso-blend-250-gram";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Good Fellas Espresso 50g";"Harman – menşe belirtilmemiş";"50";"97.75";"1955";"Stokta";"https://aroastinglab.com/products/good-fellas-espresso-blend-50-gram";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Guatemala Espresso 1000g";"Guatemala";"1000";"1526.94";"1526.94";"Stokta";"https://aroastinglab.com/products/guatemala-espresso-huehuetenango-1000-gram";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Guatemala Espresso 250g";"Guatemala";"250";"424.15";"1696.6";"Stokta";"https://aroastinglab.com/products/guatemala-espresso-huehuetenango-250-gram";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Guatemala Espresso 50g";"Guatemala";"50";"97.75";"1955";"Stokta";"https://aroastinglab.com/products/guatemala-espresso-huehuetenango-50-gram";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Guatemala Filtre Kahve 1000g";"Guatemala";"1000";"1526.94";"1526.94";"Stokta";"https://aroastinglab.com/products/guatemala-huehuetenango-1000-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Guatemala Filtre Kahve 250g";"Guatemala";"250";"424.15";"1696.6";"Stokta";"https://aroastinglab.com/products/guatemala-huehuetenango-250-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Guatemala Filtre Kahve 50g";"Guatemala";"50";"97.75";"1955";"Stokta";"https://aroastinglab.com/products/guatemala-huehuetenango-50-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Honduras Filtre Kahve 1000g";"Honduras";"1000";"1526.94";"1526.94";"Stokta";"https://aroastinglab.com/products/honduras-el-kalan-1000-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Honduras Filtre Kahve 250g";"Honduras";"250";"424.15";"1696.6";"Stokta";"https://aroastinglab.com/products/honduras-el-kalan-250-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Honduras Filtre Kahve 50g";"Honduras";"50";"97.75";"1955";"Stokta";"https://aroastinglab.com/products/honduras-el-kalan-50-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"House Blend Kahve 1000g";"Etiyopya | Guatemala";"1000";"1526.94";"1526.94";"Stokta";"https://aroastinglab.com/products/house-blend-1000-gram-coffee";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"House Blend Kahve 250g";"Etiyopya | Guatemala";"250";"424.15";"1696.6";"Stokta";"https://aroastinglab.com/products/house-blend-250-gram-coffee";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"House Blend Kahve 50g";"Etiyopya | Guatemala";"50";"97.75";"1955";"Stokta";"https://aroastinglab.com/products/house-blend-50-gram-coffee";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Intense Blend Kahve 1000g";"Etiyopya | Hindistan";"1000";"1526.94";"1526.94";"Stokta";"https://aroastinglab.com/products/intense-blend-1000-gram-coffee";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Intense Blend Kahve 250g";"Etiyopya | Hindistan";"250";"424.15";"1696.6";"Stokta";"https://aroastinglab.com/products/intense-blend-250-gram-coffee";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Intense Blend Kahve 50g";"Etiyopya | Hindistan";"50";"97.75";"1955";"Stokta";"https://aroastinglab.com/products/intense-blend-50-gram-coffee";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Kenya Filtre Kahve 1000g";"Kenya";"1000";"1526.94";"1526.94";"Stokta";"https://aroastinglab.com/products/kenya-nyeri-1000-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Kenya Filtre Kahve 250g";"Kenya";"250";"424.15";"1696.6";"Stokta";"https://aroastinglab.com/products/kenya-nyeri-250-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Kenya Filtre Kahve 50g";"Kenya";"50";"97.75";"1955";"Stokta";"https://aroastinglab.com/products/kenya-nyeri-50-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Kolombiya Espresso 1000g";"Kolombiya";"1000";"1526.94";"1526.94";"Stokta";"https://aroastinglab.com/products/colombia-espresso-supremo-1000-gram";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Kolombiya Espresso 250g";"Kolombiya";"250";"424.15";"1696.6";"Stokta";"https://aroastinglab.com/products/colombia-espresso-supremo-250-gram";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Kolombiya Espresso 50g";"Kolombiya";"50";"97.75";"1955";"Stokta";"https://aroastinglab.com/products/colombia-espresso-supremo-50-gram";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Kolombiya Filtre Kahve 1000g";"Kolombiya";"1000";"1526.94";"1526.94";"Stokta";"https://aroastinglab.com/products/colombia-supremo-1000-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Kolombiya Filtre Kahve 250g";"Kolombiya";"250";"424.15";"1696.6";"Stokta";"https://aroastinglab.com/products/colombia-supremo-250-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Kolombiya Filtre Kahve 50g";"Kolombiya";"50";"97.75";"1955";"Stokta";"https://aroastinglab.com/products/colombia-supremo-50-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Kosta Rika Filtre Kahve 1000g";"Kosta Rika";"1000";"1526.94";"1526.94";"Stokta";"https://aroastinglab.com/products/costa-rica-tarrazu-1000-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Kosta Rika Filtre Kahve 250g";"Kosta Rika";"250";"424.15";"1696.6";"Stokta";"https://aroastinglab.com/products/costa-rica-tarrazu-250-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Kosta Rika Filtre Kahve 50g";"Kosta Rika";"50";"97.75";"1955";"Stokta";"https://aroastinglab.com/products/costa-rica-tarrazu-50-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Seçkin Kahveler Deneme Paketi 5x50 g";"Etiyopya | Kolombiya | Brezilya | Guatemala | El Salvador";"50";"479.2";"9584";"Stokta";"https://aroastinglab.com/products/seckin-kahveler-deneme-paketi";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Titan Blend Kahve 1000g";"Harman – menşe belirtilmemiş";"1000";"1526.94";"1526.94";"Stokta";"https://aroastinglab.com/products/titan-filter-blend-1000-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Titan Blend Kahve 250g";"Harman – menşe belirtilmemiş";"250";"424.15";"1696.6";"Stokta";"https://aroastinglab.com/products/titan-filter-blend-250-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Titan Blend Kahve 50g";"Harman – menşe belirtilmemiş";"50";"97.75";"1955";"Stokta";"https://aroastinglab.com/products/titan-filter-blend-50-gram-filtre-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Türk Kahvesi 1000g";"Harman – menşe belirtilmemiş";"1000";"924.8";"924.8";"Stokta";"https://aroastinglab.com/products/turkish-coffee-blend-1000-gram-turk-kahvesi";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Türk Kahvesi 100g";"Harman – menşe belirtilmemiş";"100";"122.4";"1224";"Stokta";"https://aroastinglab.com/products/turkish-coffee-blend-100-gram-turk-kahvesi";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Türk Kahvesi 250g";"Harman – menşe belirtilmemiş";"250";"283.05";"1132.2";"Stokta";"https://aroastinglab.com/products/turkish-coffee-blend-250-gram-turk-kahvesi";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"Zamansız Kahveler Deneme Paketi 5x50 g";"Etiyopya | Guatemala | Honduras | El Salvador | Hindistan";"50";"479.2";"9584";"Stokta";"https://aroastinglab.com/products/zamansiz-kahveler-deneme-paketi-1";"2026-08-11"
"A4 Kahve";"Kısmi doğrulama";"Ürün kataloğu — ayrıntılı ürün verisine erişilemedi";"Erişilemedi";"Erişilemedi";"Erişilemedi";"Erişilemedi";"Erişilemedi";"Erişilemedi";"2026-08-11"
"Abdullah Efendi Kahvesi";"Kısmi doğrulama";"Ürün kataloğu — ayrıntılı ürün verisine erişilemedi";"Erişilemedi";"Erişilemedi";"Erişilemedi";"Erişilemedi";"Erişilemedi";"Erişilemedi";"2026-08-11"
"Akademi Kahve";"Doğrulandı";"Ürün kataloğu — ayrıntılı ürün verisine erişilemedi";"Erişilemedi";"Erişilemedi";"Erişilemedi";"Erişilemedi";"Erişilemedi";"https://academyroastery.com/tr";"2026-08-11"
"Arabica Coffee House";"Doğrulandı";"Ürün kataloğu — ayrıntılı ürün verisine erişilemedi";"Erişilemedi";"Erişilemedi";"Erişilemedi";"Erişilemedi";"Erişilemedi";"https://arabicacoffee.com.tr/";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"7'si 1 Arada Dibek Kahve 24 gr*10 Adet (ARTDİGSTOK0021)";"Menşe belirtilmemiş";"24";"Erişilemedi";"Erişilemedi";"Belirsiz";"https://www.artukbey.com/7si-1-arada-dibek-kahve-24-gr10-adet-34143";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey 7 si 1 Arada Dibek Kahve 300gr";"Menşe belirtilmemiş";"300";"329";"1096.67";"Stokta";"https://www.artukbey.com/artukbey-7-si-1-arada-dibek-kahve-300-gr";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey 7 si 1 Arada Dibek Kahve 300gr (ART00102040001)";"Menşe belirtilmemiş";"300";"Erişilemedi";"Erişilemedi";"Belirsiz";"https://www.artukbey.com/artukbey-7-si-1-arada-dibek-kahve-300-gr";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey 7 si Bir Arada Dibek Kahvesi Kese 100 gr (ART00102020002)";"Menşe belirtilmemiş";"100";"Erişilemedi";"Erişilemedi";"Belirsiz";"https://www.artukbey.com/artukbey-7-si-bir-arada-dibek-kahvesi-kese-100-gr";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Antep Fıstıklı Dibek Kahvesi 300gr";"Menşe belirtilmemiş";"300";"329";"1096.67";"Stokta";"https://www.artukbey.com/artukbey-antep-fistikli-dibek-kahvesi-300-gr";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Antep Fıstıklı Dibek Kahvesi 300gr (ART00102040003)";"Menşe belirtilmemiş";"300";"Erişilemedi";"Erişilemedi";"Belirsiz";"https://www.artukbey.com/artukbey-antep-fistikli-dibek-kahvesi-300-gr";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Damla Sakızlı Dibek Kahvesi 250gr (ART00102025007)";"Menşe belirtilmemiş";"250";"Erişilemedi";"Erişilemedi";"Belirsiz";"https://www.artukbey.com/artukbey-damla-sakizli-dibek-kahvesi-250gr-1337";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Damla Sakızlı Türk Kahvesi 100 gr (ART00102010008)";"Menşe belirtilmemiş";"100";"Erişilemedi";"Erişilemedi";"Belirsiz";"https://www.artukbey.com/artukbey-damla-sakizli-turk-kahvesi-100-gr-";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Damla Sakızlı Türk Kahvesi 300gr";"Menşe belirtilmemiş";"300";"329";"1096.67";"Stokta";"https://www.artukbey.com/artukbey-damla-sakizli-turk-kahvesi-300gr";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Damla Sakızlı Türk Kahvesi 300gr (ART00102040010)";"Menşe belirtilmemiş";"300";"Erişilemedi";"Erişilemedi";"Belirsiz";"https://www.artukbey.com/artukbey-damla-sakizli-turk-kahvesi-300gr";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Damla Sakızlı Türk Kahvesi Kese 100 gr (ART00102020006)";"Menşe belirtilmemiş";"100";"Erişilemedi";"Erişilemedi";"Belirsiz";"https://www.artukbey.com/artukbey-damla-sakizli-turk-kahvesi-kese-100-gr";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Dibek 7 Kahve 3 Bitki Special 400gr";"Menşe belirtilmemiş";"400";"399";"997.5";"Stokta";"https://www.artukbey.com/artukbey-dibek-7-kahve-3-bitki-special-400gr-1263";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Dibek 7 Kahve 3 Bitki Special 400gr (ART00102040012)";"Menşe belirtilmemiş";"400";"Erişilemedi";"Erişilemedi";"Belirsiz";"https://www.artukbey.com/artukbey-dibek-7-kahve-3-bitki-special-400gr-1263";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Dibek 7 Kahve 3 Bitki Special 800gr";"Menşe belirtilmemiş";"800";"749";"936.25";"Stokta";"https://www.artukbey.com/artukbey-dibek-7-kahve-3-bitki-special-800gr-1246";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Dibek 7 Kahve 3 Bitki Special 800gr (ART00102080013)";"Menşe belirtilmemiş";"800";"Erişilemedi";"Erişilemedi";"Belirsiz";"https://www.artukbey.com/artukbey-dibek-7-kahve-3-bitki-special-800gr-1246";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Fındıklı Dibek Kahvesi 300gr";"Menşe belirtilmemiş";"300";"329";"1096.67";"Stokta";"https://www.artukbey.com/artukbey-findikli-dibek-kahvesi-300gr";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Fındıklı Dibek Kahvesi 300gr (ART00102040014)";"Menşe belirtilmemiş";"300";"Erişilemedi";"Erişilemedi";"Belirsiz";"https://www.artukbey.com/artukbey-findikli-dibek-kahvesi-300gr";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Filtre Kahve 1 kg (ARTDİGSTOK0008)";"Menşe belirtilmemiş";"1000";"Erişilemedi";"Erişilemedi";"Belirsiz";"https://www.artukbey.com/artukbey-filtre-kahve-1-kg-1359";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Hazır Kahve Classic 1 Kg (ART00104100011)";"Menşe belirtilmemiş";"1000";"Erişilemedi";"Erişilemedi";"Belirsiz";"https://www.artukbey.com/artukbey-hazir-kahve-classic-1-kg-1330";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Hazır Kahve Classic 250 Gr (ART00104025009)";"Menşe belirtilmemiş";"250";"Erişilemedi";"Erişilemedi";"Belirsiz";"https://www.artukbey.com/artukbey-hazir-kahve-classic-250-gr-1332";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Hazır Kahve Classic 500 Gr (ART00104040010)";"Menşe belirtilmemiş";"500";"Erişilemedi";"Erişilemedi";"Belirsiz";"https://www.artukbey.com/artukbey-hazir-kahve-classic-500-gr-1331";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Hazır Kahve Gold 1 Kg";"Menşe belirtilmemiş";"1000";"1099";"1099";"Stokta";"https://www.artukbey.com/artukbey-hazir-kahve-gold-1-kg-net845-gr";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Hazır Kahve Gold 1 Kg (ART00104100014)";"Menşe belirtilmemiş";"1000";"Erişilemedi";"Erişilemedi";"Belirsiz";"https://www.artukbey.com/artukbey-hazir-kahve-gold-1-kg-net845-gr";"2026-08-11"
"Artukbey Kahve";"Doğrulandı";"Artukbey Hazır Kahve Gold 250 Gr";"Menşe belirtilmemiş";"250";"299";"1196";"Stokta";"https://www.artukbey.com/artukbey-hazir-kahve-gold-250-gr-1223";"2026-08-11"
